# Device metrics no LOINC code fits, grouped by the reason, because the reason decides what to do.
#
# Reasons:
#   ALGO_MISMATCH      LOINC has the concept but codes another algorithm (HRV: SDNN only, five vendors publish RMSSD)
#   VENDOR_SCORE       a proprietary score; LOINC does not code these and never will
#   NO_CONCEPT         the concept is absent from the axis table
#   UNIT_INCOMPARABLE  a near code exists but the vendor's unit or weighting makes the number incomparable
#   RELATIVE           a deviation from a baseline, not an absolute quantity
#   NOT_MEASUREMENT    a goal, a recommendation or a plan
#   QUALITY_META       a data-quality or device-state signal; worth keeping beside the reading, not as one
#   NOT_PERSON         an environmental quantity
#   OUT_OF_SCOPE       raw waveforms, location, nutrition: outside this catalogue
#
# Columns: reason, metric (the quantity as vendors name it), vendors (who publishes it, with
# their field names), detail (the evidence), disposition (what the catalogue does).
# Read 2026-09-09 against LOINC 2.83; the notes were translated from Chinese in 1.5.1.
reason	metric	vendors	detail	disposition
ALGO_MISMATCH	HRV (RMSSD)	Huawei heartRateVariabilityRMSSD / HC HeartRateVariabilityRmssdRecord / Fitbit hrv.dailyRmssd+deepRmssd / WHOOP hrv_rmssd_milli / Oura average_hrv / Amazfit open API	Every HRV code in LOINC 2.83 is of SDNN descent (112429-6 SDNN, 76643-6 and 80404-7 R-R interval.standard deviation). The axis table has 0 hits for `RMSSD`. SDNN is the standard deviation of all NN intervals, RMSSD the root mean square of successive differences: different definitions, not interchangeable. Six vendors publish RMSSD, only Apple publishes SDNN	Keep in the `hrvRMSSD` device namespace, no code. This is the one entry worth filing a new-code request with Regenstrief. Garmin's beat-to-beat RR series allows computing SDNN, which may carry 112429-6 as long as the method records that it was computed here
VENDOR_SCORE	stress score / stress level	Huawei instantaneous.stress:score[1,99]+grade(1 relaxed / 2 normal / 3 medium / 4 high) / vivo DATA_TYPES.STRESS(9) / Garmin garmin_stress_level / Zepp Stress / Amazfit open API	Each vendor has its own algorithm and its own scale; the numbers do not compare across vendors	Leaving the catalogue's `stressLevel` uncoded is right
VENDOR_SCORE	sleep score	Huawei health.record.sleep:sleep_score / Oura daily_sleep.score / Fitbit (in the app)	`97891-6 Sleep score [R-Outcomes]` exists, but it is one specific patient-reported questionnaire scale and cannot be borrowed	`sleepQuality` left blank
VENDOR_SCORE	Strain (cardiovascular load)	WHOOP cycle.score.strain / workout.score.strain	WHOOP proprietary	`strain` / `workoutStrain` left blank
VENDOR_SCORE	Recovery / Readiness / Resilience	WHOOP recovery_score / Oura daily_readiness.score + daily_resilience.level / Samsung EnergyScoreType / vivo ENERGY(14, not yet supported)	Four vendors, four different "how you are today" scores, none comparable with another	No code; the same holds for Oura's 9 readiness contributors and 3 resilience contributors
VENDOR_SCORE	Body Battery	Garmin garmin_body_battery	Garmin's proprietary energy-reserve score	No code
VENDOR_SCORE	PAI (Personal Activity Intelligence)	Zepp/Amazfit Pai + Amazfit open API	Amazfit proprietary, derived from heart rate and active minutes	No code
VENDOR_SCORE	Fitness Age / vascular age	Garmin garmin_fitness_age / Oura daily_cardiovascular_age.vascular_age	The axis table has 0 hits for `Vascular age`. Note that pulse_wave_velocity from the same Oura endpoint does have a code (77196-4): an age is a derived score, PWV is a measurement	`bodyAge` left blank; PWV gets its own code
VENDOR_SCORE	sleep efficiency / performance / consistency	WHOOP sleep_efficiency_percentage + sleep_performance_percentage + sleep_consistency_percentage / Oura sleep.efficiency / Fitbit sleep.efficiency	The axis table has 0 hits for `Sleep efficiency`. Asleep-over-in-bed is a fairly universal definition, but LOINC simply never took it in	`sleepEfficiency` / `sleepPerformance` / `sleepConsistency` left blank
VENDOR_SCORE	deep-sleep continuity / sleep continuity	Huawei deep_sleep_part / the catalogue's dailySleepContinuity	a proprietary score	left blank
VENDOR_SCORE	breathing disturbance index	Oura daily_spo2.breathing_disturbance_index / Apple appleSleepingBreathingDisturbances	Not an AHI, so 69990-0 does not fit	left blank
VENDOR_SCORE	FatBurning	Zepp FatBurning	proprietary	left blank
NO_CONCEPT	walking heart rate	Apple walkingHeartRateAverage / vivo HEART_RATE_STEP(1)	LOINC has no walking-heart-rate code	The catalogue keeps `walkingHeartRates` in the device namespace
NO_CONCEPT	one-minute heart rate recovery	Apple heartRateRecoveryOneMinute / Huawei (the workout recovery heart-rate subpage)	0 hits	—
NO_CONCEPT	heart-rate baseline bounds	Huawei continuous.heart_rate.statistics:minHeartrateBaseline+maxHeartrateBaseline / the catalogue's dailySleepBaseHeartRate	LOINC has no baseline code	—
NO_CONCEPT	SpO2 baseline bounds / daily min and max SpO2	Huawei continuous.spo2.statistics:minOxygenSaturationBaseline+saturation_max+saturation_min / Fitbit spo2.value.min+max	59405-7 and 59406-9 are 8-hour windows, which is not the daily quantity	—
NO_CONCEPT	atrial fibrillation burden	Apple atrialFibrillationBurden / Amazfit open API: atrial fibrillation / Samsung IrregularHeartRhythmNotificationType	0 hits	The catalogue's `arrhythmiaAfibPercentage` is left blank
NO_CONCEPT	walking steadiness	Apple appleWalkingSteadiness	0 hits (while double support, asymmetry and stair speed from the same batch are all coded)	—
NO_CONCEPT	cadence	HC StepsCadenceRecord / vivo DATA_TYPES.WALKING_SPEED(10) / Xiaomi step.count.cadence / Zepp (derived)	The axis table has 0 hits for `Cadence`. Careful: vivo names cadence WALKING_SPEED, and its unit is steps/min rather than a speed, so wiring it by name is wrong	The catalogue's `cadence` is left blank; that vivo field must not be wired to walkingSpeeds
NO_CONCEPT	step length	Apple walkingStepLength	0 hits	—
NO_CONCEPT	instantaneous walking speed	Apple walkingSpeed / HC SpeedRecord / Xiaomi speed / vivo SPEED(16, not yet supported)	LOINC has Walking speed only as a 24h/1W summary (41956-4 and siblings), with no Pt code	The catalogue's `walkingSpeeds` is an instant series, so SCALE and TIME do not match; left blank
NO_CONCEPT	exercise power	HC PowerRecord / Xiaomi power.sample / Apple runningPower+cyclingPower	0 hits	—
NO_CONCEPT	MET / MET minutes	Oura daily_activity.*_met_minutes + met	Every axis-table hit for "MET" is the MET gene (100026-4 and siblings); there is no metabolic-equivalent code	—
NO_CONCEPT	basal energy	Apple basalEnergyBurned / HC BasalMetabolicRateRecord / Xiaomi calories.bmr	`50042-1` is a BMR index (ACnc), a different quantity from an energy rate (kcal/day)	`basalCalories` left blank
NO_CONCEPT	nap / daytime sleep	Huawei sleep_state=5 scattered naps + sleep_type=3 / Oura sleep.type=late_nap / WHOOP sleep.nap	LOINC has no nap code	`napDuration` left blank
NO_CONCEPT	sleep cycle count	WHOOP stage_summary.sleep_cycle_count / the catalogue's dailySleepCycleTimes	0 hits	left blank
NO_CONCEPT	hypopnea index	Huawei health.record.ventilator:hypoventilationIndex	AHI (69990-0) already counts hypopneas; there is no separate code	—
