# WHOOP API v2: vendor fields to LOINC 2.83
#
# WHOOP API v2 schema fields. WHOOP reports energy in kilojoules and deep sleep as slow-wave sleep.
#
# Source, read 2026-09-09:
#   https://api.prod.whoop.com/developer/doc/openapi.json
#   The official OpenAPI document.
#
# Columns:
#   type        the vendor's data type, record class or endpoint, verbatim
#   field       the field inside it, verbatim; empty when the type is the reading
#   metric      the mirobody catalogue name (res/catalog/metrics.tsv); empty when the catalogue has no row
#   loinc       the LOINC code the field means; EMPTY IS A DECLINE, and the note says why
#   confidence  confident = the six LOINC axes agree with the vendor's definition;
#               unverified = close, a person must confirm before a reading is filed under it
#   note        the reasoning; some notes are in Chinese, as they were written
#
# Every code was checked by hand against the LOINC 2.83 axis table on 2026-09-09.
# No vendor API carries a LOINC code of its own. LOINC is copyright Regenstrief
# Institute, Inc. (https://loinc.org/kb/license/); see LICENSE-3RD-PARTY section 3.
# Generated from the maintainers' review tables; edit through a pull request,
# and keep the file loadable by mirobody.translate.devices.
type	field	metric	loinc	confidence	note
recovery	score.hrv_rmssd_milli	hrvRMSSD			spec 原文 "measured using Root Mean Square Successive"。LOINC 无 RMSSD 码
recovery	score.resting_heart_rate	restingHeartRates	40443-4	confident	
recovery	score.spo2_percentage	oxygenSaturations	59408-5	confident	spec 注：仅 WHOOP 4.0+ 存在
recovery	score.skin_temp_celsius	skinTemperature	61008-9	unverified	绝对摄氏皮温（与 Fitbit 的相对偏差不同）→ 可落 `61008-9` Body surface temperature。WHOOP 腕戴,LOINC 无腕部专用码,(see docs/device-crosswalk.md)
recovery	score.recovery_score				0–100% 厂商专有恢复分,LOINC 结构性无码
recovery	score.user_calibrating				校准状态布尔量。建议接进本仓置信分级：true 时读数不可信
cycle	score.strain	strain			WHOOP 专有心血管负荷分,无码。本仓 `strain` 留空是对的
cycle	score.kilojoule	activeCalories	41981-2	unverified	单位陷阱：spec 为千焦,本仓 activeCalories 是 kcal。须 ÷4.184
cycle	score.average_heart_rate	dailyHeartRateAvg	103205-1	confident	Mean heart rate（2.75）
cycle	score.max_heart_rate	dailyHeartRateMax	101692-2	confident	Maximum heart rate（2.75）
sleep	score.respiratory_rate	dailySleepRespiratoryRate	103217-6	unverified	睡眠期间呼吸率；`103217-6` 有轴缺陷,(see docs/device-crosswalk.md)
sleep	score.stage_summary.total_in_bed_time_milli	sleepAnalysis_InBed	103213-5	confident	Duration in bed
sleep	score.stage_summary.total_awake_time_milli	dailyAwakeTime	103210-1	unverified	Awakening duration
sleep	score.stage_summary.total_light_sleep_time_milli	dailyLightSleep	93830-8	confident	Light sleep duration
sleep	score.stage_summary.total_slow_wave_sleep_time_milli	dailyDeepSleep	93831-6	confident	术语差异：WHOOP 叫 Slow Wave Sleep (SWS)，即深睡（N3）。`93831-6` Deep sleep duration
sleep	score.stage_summary.total_rem_sleep_time_milli	dailyRemSleep	93829-0	confident	REM sleep duration
sleep	score.stage_summary.total_no_data_time_milli				缺数据时长。建议接进置信分级：与 in_bed 之比是该夜可信度
sleep	score.stage_summary.sleep_cycle_count	dailySleepCycleTimes			LOINC 无睡眠周期数码
sleep	score.stage_summary.disturbance_count	sleepDisturbances	103211-9	confident	Number of awakenings（2.75）
sleep	score.sleep_efficiency_percentage	sleepEfficiency			LOINC 无睡眠效率码
sleep	score.sleep_performance_percentage	sleepPerformance			厂商专有分
sleep	score.sleep_consistency_percentage	sleepConsistency			厂商专有分
sleep	score.sleep_needed.baseline_milli				「应睡时长」是推荐值不是测量值,不落码
sleep	score.sleep_needed.need_from_sleep_debt_milli				同上
sleep	nap	napDuration			布尔标记 + 时段；LOINC 无小睡码
workout	score.strain	workoutStrain			厂商专有分
workout	score.average_heart_rate	dailyHeartRateAvg	103205-1	unverified	单次运动均值,非日均;`103205-1` 的 TIME_ASPCT=XXX 可容纳,但口径须声明
workout	score.max_heart_rate	dailyHeartRateMax	101692-2	unverified	同上
workout	score.distance_meter		103208-5	unverified	generic distance, all activities; the catalogue's walkingRunningDistances is walking or running only (112427-0); spec 注：仅部分运动存在
workout	score.percent_recorded				心率数据完整度百分比。建议接进置信分级
workout	score.zone_durations				WHOOP 五区与本仓五区、LOINC 三区+最大区互不对齐,不落码
user	measurement.body.height_meter	heights	8302-2	confident	
user	measurement.body.weight_kilogram	bodyMasss	29463-7	confident	
user	measurement.body.max_heart_rate	maxHeartRateProfile	101692-2	unverified	这是用户档案里的最大心率上限,不是当日实测最大值 —— 与 cycle.score.max_heart_rate 语义不同,勿混用同一码
