component	chapter	code	kind	preferred	description	inclusions	exclusions	depth
D	A	AD01	infection	Measles	Prodrome with infected conjunctivae, fever, and cough; plus white specks on a red base in the mucous membranes of the cheek (Koplik's spots), or confluent maculopapular eruption spreading over the face and body, or an atypical exanthem in a partially immune person during an epidemic of measles; or serological evidence of acute measles. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact.	complications of measles		0
D	A	AD02	infection	Chickenpox	A vesicular exanthem which appears in successive crops, with the lesions evolving rapidly from superficial papules to vesicles and eventually to scabs.Transmission is by inhalation of infected respiratory secretions, or direct contact with fluid from vesicles.	complications of chickenpox	herpes zoster SD03	0
D	A	AD03	infection	Rubella	An acute exanthem with enlarged lymph nodes, most often suboccipital and post-auricular, with a macular rash on the face, spreading to the trunk and proximal portions of the limbs; or serological evidence of rubella infection. Transmission is commonly by inhalation of infected respiratory secretions, or direct contact.	complications of rubella	roseola infantum AD13	0
D	A	AD04	infection	Infectious mononucleosis	Inflammation of the tonsils/pharynx with lymphadenopathy not confined to the anterior cervical nodes, and either atypical lymphocytes on blood smear or splenomegaly; or abnormal heterophile antibody titre or Epstein-Barr virus titre.Transmission is by direct contact with infected body fluids, commonly through saliva.	glandular fever		0
D	A	AD13	infection	Other specified and unknown viral exanthems		cowpox;fever with rash;unknown viral exanthems	chickenpox AD02;infectious mononucleosis AD04;measles AD01;rubella AD03	0
D	A	AD13.00	infection	Erythema infectiosum (fifth disease)	A condition caused by infection with parvovirus B19 (member of the Erythroparvovirus genus). In children, this condition is characterised by fever and cold-like symptoms initially, followed by a skin rash typically in the facial region. In adolescents and adults, this condition may present with painful and swollen joints. Transmission is by droplet transmission, or vertical transmission.			1
D	A	AD13.01	infection	Exanthema subitum (6th disease/roseola infantum)	A disease caused by an infection with roseolovirus (human herpesvirus type 6 or 7). This disease is characterised by acute fever, followed by macular or maculopapular exanthem in some individuals. Transmission is by inhalation of infected respiratory secretions or direct contact.			1
D	A	AD13.02	infection	Hand foot and mouth disease	Enteroviral vesicular stomatitis, commonly called hand, foot and mouth disease, is a highly contagious enterovirus infection (usually Coxsackievirus A16 or Enterovirus 71). It typically causes a mild febrile illness with sore throat and loss of appetite followed by an eruption of vesicles on the lips, hands and feet. The majority of cases occur in children under the age of five.			1
D	A	AD14	infection	Other specified and unknown viral diseases		adenovirus;Coxsackie diseases;Ross River fever;unknown viral disease	cowpox AD13;erythema infectiosum [fifth disease] AD13;influenza RD07;other viral exanthem AD13	0
D	A	AD14.00	infection	Chikungunya fever	An acute infection caused by a mosquito-borne alphavirus chikungunya virus characterized by rash; fever; joint pains; conjunctivitis; meningoencephalitis; lymphopenia; and thrombocytopenia.			1
D	A	AD14.01	infection	Dengue fever	Dengue is a viral disease transmitted by the bite of a mosquito infected by dengue viruses. It is one disease entity with different clinical presentations and often with unpredictable clinical evolution and outcome. Most patients recover following a self-limiting non-severe clinical course like nausea, vomiting, rash, aches and pains, but a small proportion progress to severe disease, mostly characterized by plasma leakage with or without haemorrhage, although severe haemorrhages or severe organ impairment can occur, with or without dengue shock.			1
D	A	AD14.02	infection	Dengue haemorrhagic fever	Clinical signs include: 1. Severe plasma leakage leading to shock (Dengue shock syndrome - DSS) and/or fluid accumulation with respiratory distress; 2. Severe bleeding as evaluated by clinician; 3. Severe organ involvement: Liver AST or ALT greater than 1000, CNS: impaired consciousness (encephalitis), involvement of other organs, as myocarditis or nephritis.			1
D	A	AD14.03	infection	Ebola virus disease	A severe disease with high case fatality caused by infection with Ebola virus or a closely related virus. Ebola disease is typically characterised by acute onset of fever with non-specific symptoms/signs (e.g., abdominal pain, anorexia, fatigue, malaise, myalgia, sore throat) usually followed several days later by nausea, vomiting, diarrhoea, and occasionally a variable rash. Hiccups may occur. Severe illness may include haemorrhagic manifestations (e.g., bleeding from puncture sites, ecchymoses, petechiae, visceral effusions), encephalopathy, shock/hypotension, multi-organ failure, spontaneous abortion in infected pregnant women. Common laboratory findings include thrombocytopenia, elevated transaminase concentrations, electrolyte abnormalities, and signs of renal dysfunction. Individuals who recover may experience prolonged sequelae (e.g., arthralgia, neurocognitive dysfunction, uveitis sometimes followed by cataract formation), and clinical and subclinical persistent infection may occur in immune-privileged compartments (e.g., CNS, eyes, testes). Person-to-person transmission occurs by direct contact with blood, other bodily fluids, organs, or contaminated surfaces and materials with risk beginning at the onset of clinical signs and increasing with disease severity. Family members, sexual contacts, healthcare providers, and participants in burial ceremonies with direct contact with the deceased are at particular risk. The incubation period typically is 7–11 days (range ≈2–21 days).			1
D	A	AD14.04	infection	Hantavirus disease	An acute zoonotic viral disease characterised by abrupt onset of fever, influenza-like clinical signs (e.g., chills, headache, myalgia, dry cough), gastrointestinal signs (e.g., diffuse abdominal pain, vomiting, diarrhoea), transient troubled vision (acute myopia), lumbalgia due to renal swelling, haemorrhagic manifestations to various degrees sometimes followed by rapidly increasing dyspnoea due to not-cardiogenic acute lung oedema, and/or renal involvement. The latter is characterised by initial, often massive proteinuria and microhaematuria sometimes accompanied by transient renal function impediment. All hantavirus infections are heralded by varying degrees of transient thrombocytopenia, which may serve as an indicator of clinical severity.			1
D	A	AD14.05	infection	Lassa fever	A disease endemic in large parts of sub-Saharan Western Africa caused by infection with Lassa virus. Infection is mild or asymptomatic in most cases, but can cause severe illness or death. After a prodromal period of 7-10 days (sometimes longer), initial symptoms/signs include fever, malaise, headache, sore throat, vomiting, abdominal pain, and diarrhoea. Subsequently, patients develop high fever, extreme lethargy, oedema of head/neck, encephalopathy, pleural effusion, and ascites. Bleeding into the skin, mucosae and underlying tissues occurs in the severest cases. Deafness occurs in many patients, and the disease is often particularly severe in pregnancy. The overall lethality can reach 15% even among hospitalized patients receiving supportive care. Transmission occurs by inhalation, consumption, or direct contact with excretions and bodily fluids from infected rodents. Diagnosis occurs by identification of Lassa virus in blood samples by molecular or serologic methods.			1
D	A	AD14.06	infection	Rabies	A disease caused by infection with the rabies virus. This disease is characterised by fever, and headache, followed by neurological symptoms dominated by a furious or paralytic form.			1
D	A	AD14.07	infection	Yellow fever	A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample.			1
D	A	AD14.08	infection	Zika virus disease	Zika virus infection is caused by the bite of an infected Aedes mosquito. The most common symptoms of Zika virus infection are mild fever and exanthema (skin rash), usually accompanied by conjunctivitis, muscle or joint pain, and general malaise that begins 2-7 days after the bite of the infected mosquito.			1
D	A	AD15	infection	Tuberculosis	Conversion to a positive tuberculin skin test; or demonstration of Mycobacterium tuberculosis on microscopy or culture; or characteristic chest X-ray appearance; or characteristic histological appearance on biopsy. This disease presents with symptoms depending on the site of infection. Transmission is commonly by inhalation of infected respiratory secretions.	late effect of tuberculosis;tuberculosis infection of any body site		0
D	A	AD16	infection	Malaria	Intermittent fever with chills and rigors in resident of, or recent visitor to, a malarial region; or demonstration of malarial parasite forms in the peripheral blood.Transmission is through the bite of an infected mosquito. Confirmation is commonly by identification of the Plasmodium genus in a blood sample.	complications of malaria		0
D	A	AD17	infection	Leishmaniasis	Leishmaniasis is due to infection by vector-borne protozoa from the genus Leishmania. Depending on the Leishmania species involved, the resultant disease picture may range from a localised cutaneous ulcer through extensive mucocutaneous destruction to severe systemic disease.			0
D	A	AD17.00	infection	Cutaneous leishmaniasis	Cutaneous leishmaniasis results from bites by sandflies infected by protozoan parasites of the genus Leishmania. Phlebotomus is the principal vector in the Old World (Mediterranean, North Africa, Ethiopia and Asia), where L. major, L. tropica, L. aethiopica and L. donovani infantum predominate. Other sandflies are responsible for transmitting the New World species, L. mexicana and L. brasiliensis. The commonest presentation is with one or more crusted nodules or ulcers on exposed sites which gradually heal with scarring. Mexican and Ethiopian forms have a tendency to cause diffuse infiltration of the skin; South American forms frequently progress to mucocutaneous leishmaniasis.			1
D	A	AD17.01	infection	Mucocutaneous leishmaniasis	Mucocutaneous leishmaniasis is a secondary infection of nasal and oral mucosae, predominantly by Leishmania braziliensis. It usually first manifests within two years of initial cutaneous infection but often after the latter has healed. It results from lymphatic or haematogenous spread of infection and can cause severe local tissue destruction.			1
D	A	AD17.02	infection	Visceral leishmaniasis	A disease caused by an infection with the protozoan parasite Leishmania. This disease is characterised by biphasic fever, hepatosplenomegaly, pancytopenia, wasting, darkening of the skin, or may be asymptomatic. Transmission is through the bite of an infected female phlebotomine sandfly. Confirmation is by identification of Leishmania from a tissue or blood sample, or detection of antibodies against Leishmania.			1
