# Honor Health Kit: vendor fields to LOINC 2.83
#
# Honor Health Kit data types and fields. The service mirrors Huawei Health Kit; the cloud side
# is read-only and the service is offered in one region only (see the vendor's support page).
#
# Source, read 2026-09-09:
#   https://developer.honor.com/
#   Fitness > Health service (kitId 11005); SDK com.hihonor.mcs:fitness-health:1.0.0.302, Maven https://developer.hihonor.com/repo. Cloud side is read-only.
#
# Columns:
#   type        the vendor's data type, record class or endpoint, verbatim
#   field       the field inside it, verbatim; empty when the type is the reading
#   metric      the mirobody catalogue name (res/metrics.tsv); empty when the catalogue has no row
#   loinc       the LOINC code the field means; EMPTY IS A DECLINE, and the note says why
#   confidence  confident = the six LOINC axes agree with the vendor's definition;
#               unverified = close, a person must confirm before a reading is filed under it
#   note        the reasoning; some notes are in Chinese, as they were written
#
# Every code was checked by hand against the LOINC 2.83 axis table on 2026-09-09.
# No vendor API carries a LOINC code of its own. LOINC is copyright Regenstrief
# Institute, Inc. (https://loinc.org/kb/license/); see LICENSE-3RD-PARTY section 3.
# Generated from the maintainers' review tables; edit through a pull request,
# and keep the file loadable by mirobody.translate.devices.
type	field	metric	loinc	confidence	note
HEART_RATE	dynamicHeartRate	heartRates	8867-4	confident	side=cloud; bpm；采样数据
HEART_RATE	restingHeartRate	restingHeartRates	40443-4	confident	side=cloud; bpm；与动态心率同在一个 detail 结构里
HEART_RATE (daily)	averageValue	dailyHeartRateAvg	103205-1	confident	side=cloud; 动态心率平均值
HEART_RATE (daily)	maxValue	dailyHeartRateMax	101692-2	confident	side=cloud; 动态心率最大值
HEART_RATE (daily)	minValue	dailyHeartRateMin	103222-6	confident	side=cloud; 动态心率最小值
HEART_RATE (daily)	restingAveValue / maxRestingValue / minRestingValue	dailyRestingHeartRates	40443-4	unverified	side=cloud; 静息心率的均/最大/最小 —— LOINC 只有一个静息心率码，三个口径无法分列
RECORD_HEART_HEALTH	maxHeartRate / minHeartRate	dailyHeartRateMax	101692-2	unverified	side=android; 心率过速过缓事件内的极值（30,255），不是日统计极值 —— 语义不同，勿与上面共码
RECORD_HEART_HEALTH	maxHeartRate / minHeartRate	dailyHeartRateMin	103222-6	unverified	side=android; 心率过速过缓事件内的极值（30,255），不是日统计极值 —— 语义不同，勿与上面共码
RECORD_HEART_HEALTH	warningLimit / warningType				side=android; 告警阈值与类型（0过高/1过低）。阈值是设置值不是测量值
BLOOD_OXYGEN	bloodOxygen	oxygenSaturations	59408-5	confident	side=cloud; %；采样数据
BLOOD_OXYGEN (daily)	averageValue		103209-3	unverified	side=cloud; 血氧均值；`103209-3` PROPERTY=NRat 是 LOINC 缺陷(see docs/device-crosswalk.md)
BLOOD_OXYGEN (daily)	maxValue / minValue				side=cloud; LOINC 无日最高/最低血氧码
BLOOD_PRESSURE	highPressure	systolicPressures	8480-6	confident	side=cloud; mmHg
BLOOD_PRESSURE	lowPressure	diastolicPressures	8462-4	confident	side=cloud; mmHg
BLOOD_PRESSURE	pulse	heartRates	8867-4	unverified	side=cloud; 次/分。是血压计读出的脉搏，不是腕表光学心率 —— 方法轴不同，落 8867-4 需声明
BLOOD_GLUCOSE	measureValue	bloodGlucoses	15074-8	confident	side=cloud; 单位是 mmol/L（范围 1-33）→ 应落 `15074-8` Glucose [Moles/volume] in Blood，不是本仓现用的 `2339-0`（mg/dL）。落码前需单位换算或改码
BLOOD_GLUCOSE	timeRange				side=cloud; 测量时段 10 档（0全时段/1夜间/2空腹/3随机/4早餐后/5午餐前/6午餐后/7晚餐前/8晚餐后/9睡前）。LOINC 有餐时相关码族，本仓无 member
