# Offline-resolver overrides:  <term as printed>  TAB  <target the index resolves>
#
# WHY THIS FILE EXISTS, and why it is not aliases_src/{lang}_curated.tsv
# ---------------------------------------------------------------------
# Those files are inputs to the BUNDLE BUILD (indicator/fhir/embeddings/
# lexicon.py). Their right-hand side is a descriptive English phrase —
# "Total cholesterol TC", "Leukocyte count WBC" — which is exactly the shape
# the alias-index build wants.
#
# This file serves the OFFLINE RESOLVER at runtime, where the right-hand side
# has a different job: it must itself be a key the finished alias index can
# look up. "Total cholesterol TC" is a fine build input and a dead end at
# lookup time. Rewriting the build inputs to suit the resolver would have
# quietly degraded the semantic pipeline, so the two concerns get two files.
#
# Every row here was a documented failure in test_engine_coverage.py. Two
# kinds of failure appear, and the second is the dangerous one:
#
#   MISS  — "LDL cholesterol" resolved to nothing. The index is built from
#           LOINC long common names, so it knows the formal name and the lab
#           short code (LDL-C) but not the phrase humans write. Plain English
#           was, counter-intuitively, the worst-covered language.
#
#   WRONG — "血红蛋白" resolved to Hemoglobin A1c: a different test, returned
#           with full confidence. It matches 301 index rows and the commonness
#           prior likes HbA1c best. A resolution-rate metric scores this as a
#           success; a patient reading the report would not.
#
# CONTRIBUTING: this is the lowest-barrier useful PR in the repo. Find a term
# that resolves wrong or not at all, add one row here plus one case in
# mirobody/test_engine_coverage.py, and raise COVERAGE_FLOOR. Any language.
# Targets are validated by the test suite, so a typo'd target fails CI rather
# than shipping.

# ══ English ═══════════════════════════════════════════════════════════════
# ── lipid panel ──────────────────────────────────────────────────────────
total cholesterol	Cholesterol
cholesterol total	Cholesterol
serum cholesterol	Cholesterol
serum creatinine	Creatinine
serum total bilirubin	Bilirubin
LDL cholesterol	LDL-C
LDL-cholesterol	LDL-C
low density lipoprotein cholesterol	LDL-C
low-density lipoprotein cholesterol	LDL-C
HDL	HDL-C
LDL	LDL-C
High-Density Lipoprotein	HDL-C
Low-Density Lipoprotein	LDL-C
HDL cholesterol	HDL-C
HDL-cholesterol	HDL-C
high density lipoprotein cholesterol	HDL-C
high-density lipoprotein cholesterol	HDL-C

# ── complete blood count ─────────────────────────────────────────────────
# The bare plural nouns (Leukocytes, Erythrocytes, Hematocrit) are not index
# keys on their own; the LOINC short names are. "HCT" alone is not usable as
# a target either — it collides with Calcitonin.
white blood cell count	WBC # Bld
white blood cells	WBC # Bld
WBC count	WBC # Bld
leukocyte count	WBC # Bld
red blood cell count	RBC # Bld
red blood cells	RBC # Bld
RBC count	RBC # Bld
erythrocyte count	RBC # Bld
hematocrit	HCT Fr Sg Auto
haematocrit	HCT Fr Sg Auto
packed cell volume	HCT Fr Sg Auto

# ── metabolic panel ──────────────────────────────────────────────────────
fasting glucose	Fasting glucose [Mass/volume] in Serum or Plasma
fasting blood glucose	Fasting glucose [Mass/volume] in Serum or Plasma
fasting plasma glucose	Fasting glucose [Mass/volume] in Serum or Plasma
blood sugar	Glucose
# A post-meal reading is its own code, not plain glucose: 16915-1 when the
# report does not say how long after, 1521-4 when it says two hours.
postprandial blood glucose	Glucose^post meal
postprandial glucose	Glucose^post meal
post prandial blood sugar	Glucose^post meal
PPBS	Glucose^post meal
PPG	Glucose^post meal
2-hour postprandial glucose	Glucose^2H post meal
2 hour postprandial glucose	Glucose^2H post meal
BUN	Urea nitrogen
total bilirubin	Bilirubin
bilirubin total	Bilirubin

# ── liver enzymes ────────────────────────────────────────────────────────
# Bare acronyms are how every report actually prints these.
AST	Aspartate aminotransferase
SGOT	Aspartate aminotransferase
SGPT	Alanine aminotransferase
ALP	Alkaline phosphatase
# Isoenzymes and components. `Creatine Kinase-MB` is not "Creatine Kinase"
# abbreviated: the tail names a fraction of it, and the parent's code is the
# wrong answer at full confidence. `lexical.is_component_suffix` keeps the
# hyphen rule off these tails; the rows take them to their own component.
Creatine Kinase-MB	Creatine kinase.MB
Creatine Kinase MB	Creatine kinase.MB
CK-MB isoenzyme	Creatine kinase.MB
creatine kinase MB isoenzyme	Creatine kinase.MB
Lactate Dehydrogenase-LDH1	LDH1
Lactate Dehydrogenase-LDH2	LDH2
Lactate Dehydrogenase-LDH3	LDH3
Lactate Dehydrogenase-LDH4	LDH4
Lactate Dehydrogenase-LDH5	LDH5
LDH-1	LDH1
LDH-2	LDH2
LDH-3	LDH3
LDH-4	LDH4
LDH-5	LDH5
BALP	Alkaline phosphatase.bone
B-ALP	Alkaline phosphatase.bone
bone ALP	Alkaline phosphatase.bone
bone alkaline phosphatase	Alkaline phosphatase.bone
bone-specific alkaline phosphatase	Alkaline phosphatase.bone
Alkaline Phosphatase-BALP	Alkaline phosphatase.bone
Alkaline Phosphatase-Bone	Alkaline phosphatase.bone

# ── endocrine & vitamins ─────────────────────────────────────────────────
free T4	FT4
free thyroxine	FT4
# `FT3` in the index is 3050-2, T3 resin uptake: a different test that shares
# the letters. Every spelling of free T3 goes to the component instead.
FT3	Triiodothyronine.free
free T3	Triiodothyronine.free
free triiodothyronine	Triiodothyronine.free
游离T3	Triiodothyronine.free
游离三碘甲状腺原氨酸	Triiodothyronine.free
vitamin D	Calcidiol
vitamin D3	Calcidiol
25-OH vitamin D	Calcidiol
25 hydroxy vitamin D	Calcidiol
vitamin B12	Cobalamin
# `vitamin B9` answered 81066-3, Vitamin B9 (Folate) INTAKE 24 hour Estimated:
# a dietary rate on ^Patient, not a serum concentration. `folate` and `叶酸`
# already give 2284-8. Every other vitamin and mineral was checked and lands
# on a serum code; B9 is the only one with an intake sibling in the index.
vitamin B9	Folate
维生素B9	Folate
叶酸片	Folate

# ── extended panels ──────────────────────────────────────────────────────
# Second sweep, from a 154-term hunt across the panels a physical actually
# orders. Same failure shape as above: the formal LOINC name is indexed, the
# name on the printout is not.
lipoprotein(a)	Lp(a)
Lp(a)	Lp(a)
non-HDL cholesterol	Cholesterol.non HDL
Blood Glucose	glucose
Cholesterol/HDL Ratio	Cholesterol.total/Cholesterol.in HDL
LDL/HDL Ratio	Cholesterol.in LDL/Cholesterol.in HDL
Lipid-Free Fatty Acids	free fatty acids
Lipid-Phospholipids	phospholipid
Non-HDL Cholesterol-Non-HDL	Cholesterol non HDL
Non-HDL Cholesterol-Non-HDL-C	Cholesterol non HDL
Lipid-Low-Density Lipoprotein Calculated	LDL-C
