# Device quantities with a LOINC code: one row per code, one column per vendor.
#
# The vendor cell is the field name as that vendor's documentation prints it
# (type:field where the vendor nests fields); empty means the vendor does not
# produce the quantity, `?` means it does but publishes no field name.
# The metric column is the mirobody catalogue row (res/catalog/metrics.tsv) the code
# belongs to; a confident code there is that metric's identity, an unverified
# one is recorded here and left out of the identity until confirmed.
#
# Sources, all read 2026-09-09, one per <vendor>.tsv beside this file:
#   apple           Apple HealthKit: https://developer.apple.com/tutorials/data/documentation/healthkit/hkquantitytypeidentifier.json
#   health_connect  Google Health Connect: https://developer.android.com/reference/androidx/health/connect/client/records/package-summary
#   huawei          Huawei Health Kit: https://developer.huawei.com/consumer/cn/doc/HMSCore-Guides/overview-0000001177423513
#   honor           Honor Health Kit: https://developer.honor.com/
#   samsung         Samsung Health Data SDK: https://developer.samsung.com/health/data/api-reference
#   fitbit          Fitbit Web API: https://dev.fitbit.com/build/reference/web-api/
#   whoop           WHOOP API v2: https://api.prod.whoop.com/developer/doc/openapi.json
#   oura            Oura API v2: https://cloud.ouraring.com/v2/static/json/openapi-1.37.json
#   garmin          Garmin Health API: https://developer.garmin.com/gc-developer-program/health-api/
#   vivo            vivo BlueOS health API: https://developers-watch.vivo.com.cn/api/health/health/
#   xiaomi          Xiaomi Health cloud: https://dev.mi.com/
#   zepp            Zepp OS Sensor module: https://docs.huami.com/
#   oppo            OPPO theme engine health data: https://open.oppomobile.com/documentation/page/info?id=13624
#
# Axes were checked against LOINC 2.83. LOINC is copyright Regenstrief
# Institute, Inc. (https://loinc.org/kb/license/); see LICENSE-3RD-PARTY section 3.
# Columns: loinc, name (LOINC long common name, shortened), axes
# (PROPERTY/TIME/SYSTEM/SCALE as printed in the review), metric, confidence
# (confident or unverified), one column per vendor, note.
# The per-vendor files carry the reasoning for each field; the declined fields
# are there too, and the quantities no code fits are in unmappable.tsv.
loinc	name	axes	metric	confidence	apple	health_connect	huawei	honor	oppo	samsung	fitbit	whoop	oura	vivo	xiaomi	zepp	garmin	note
8867-4	Heart rate	NRat/Pt/XXX/Qn	heartRates	confident	heartRate	HeartRateRecord	com.huawei.instantaneous.heart_rate:bpm	HEART_RATE:dynamicHeartRate	heart_rate_current	HeartRateType	activities-heart		sleep.heart_rate	DATA_TYPES.HEART_RATE(0)	com.xiaomi.micloud.fit.heart_rate.bpm	HeartRate	Heart Rate	十一家全覆盖的唯一一个量。本仓已有此码
40443-4	Heart rate^resting	NRat/Pt/XXX/Qn	restingHeartRates	confident	restingHeartRate	RestingHeartRateRecord	com.huawei.instantaneous.resting_heart_rate:bpm	HEART_RATE:restingHeartRate			activities-heart.value.restingHeartRate	recovery.score.resting_heart_rate	daily_readiness.contributors.resting_heart_rate	DATA_TYPES.HEART_RATE_RESTING(2)			?	本仓已有此码
103205-1	Mean heart rate	NRat/XXX/Qn	dailyHeartRateAvg	confident			continuous.heart_rate.statistics:avg	日统计HEART_RATE:averageValue				cycle.score.average_heart_rate	sleep.average_heart_rate					LOINC 2.75
101692-2	Maximum heart rate	NRat/XXX/Qn	dailyHeartRateMax	confident			continuous.heart_rate.statistics:max	日统计HEART_RATE:maxValue	heart_rate_max			cycle.score.max_heart_rate						LOINC 2.75
103222-6	Heart rate.minimum	NRat/Pt/Qn	dailyHeartRateMin	confident			continuous.heart_rate.statistics:min	日统计HEART_RATE:minValue	heart_rate_min				sleep.lowest_heart_rate					LOINC 2.75
112429-6	Heart rate variability SDNN	Time/Pt/Qn	hrvSDNN	confident	heartRateVariabilitySDNN												Beat-To-Beat(自算)	只有 Apple 用 SDNN。其余五家用 RMSSD，落不了此码 —— 见 unmappable 表首行
59408-5	Oxygen saturation in Arterial blood by Pulse oximetry	MFr/Pt/BldA/Qn/PulseOx	oxygenSaturations	confident	oxygenSaturation	OxygenSaturationRecord	com.huawei.instantaneous.spo2:saturation	BLOOD_OXYGEN:bloodOxygen		BloodOxygenType	spo2.value.avg	recovery.score.spo2_percentage	daily_spo2.spo2_percentage.average	DATA_TYPES.SPO2(6)		BloodOxygen	Pulse Ox	本仓现挂 2708-6（实验室血气）应改此码 —— 十家里九家都产此量
103209-3	Mean oxygen saturation	NRat(缺陷)/XXX^mean/Qn		unverified			continuous.spo2.statistics:saturation_avg	日统计BLOOD_OXYGEN:averageValue										PROPERTY=NRat 是 LOINC 缺陷（饱和度应为 MFr）
9279-1	Respiratory rate	NRat/Pt/Resp/Qn	respiratoryRates	confident	respiratoryRate	RespiratoryRateRecord	（睡眠记录关联）										Respiration	本仓已有此码。Samsung 无呼吸率类型
103217-6	Mean respiratory rate	NRat/XXX/SCALE空(缺陷)	dailyRespiratoryRates	unverified			（睡眠平均呼吸率）				br.value.breathingRate	sleep.score.respiratory_rate	sleep.average_breath				?	SCALE_TYP 为空、CLASS 误置为 HRTRATE.ATOM
103218-4	Minimum respiratory rate	NRat/XXX^min/Qn	dailyMinRespiratoryRates	confident			（睡眠最低呼吸率）											LOINC 2.75
103219-2	Maximum respiratory rate	NRat/XXX^min(缺陷)/Qn	dailyMaxRespiratoryRates	unverified			（睡眠最高呼吸率）											TIME_ASPCT=XXX^min 与 Maximum 矛盾
8310-5	Body temperature	Temp/Pt/^Patient/Qn	bodyTemperatures	confident	bodyTemperature	BodyTemperatureRecord	com.huawei.instantaneous.body.temperature:temperature	TEMPERATURE:temperature		BodyTemperatureType	tempCore.value					BodyTemperature	?	本仓已有。Fitbit 只有 tempCore 是绝对值
61008-9	Body surface temperature	Temp/Pt/Surface/Qn	skinTemperature	unverified	appleSleepingWristTemperature	SkinTemperatureRecord:baseline	com.huawei.instantaneous.skin.temperature:temperature			SkinTemperatureType		recovery.score.skin_temp_celsius					garmin_skin_temperature	本仓现挂 8310-5 是错码。腕部无专用码故 unverified；(see docs/device-crosswalk.md)
60830-7	Finger temperature	Temp/Pt/Finger/Qn		confident		SkinTemperatureRecord:measurementLocation=FINGER							（戒指测点）					ring devices measure at the finger; the catalogue's skinTemperature carries 61008-9; 戒指类设备（Oura）的精确落点
60833-1	Toe temperature	Temp/Pt/Toe/Qn		confident		SkinTemperatureRecord:measurementLocation=TOE												toe site; no catalogue metric; 本仓无 member
8480-6	Systolic blood pressure	Pres/Pt/Arterial/Qn	systolicPressures	confident	bloodPressureSystolic	BloodPressureRecord	com.huawei.instantaneous.blood_pressure	BLOOD_PRESSURE:highPressure		BloodPressureType							Blood Pressure	本仓已有
8462-4	Diastolic blood pressure	Pres/Pt/Arterial/Qn	diastolicPressures	confident	bloodPressureDiastolic	BloodPressureRecord	com.huawei.instantaneous.blood_pressure	BLOOD_PRESSURE:lowPressure		BloodPressureType							Blood Pressure	本仓已有
2339-0	Glucose [Mass/volume] in Blood	MCnc/Pt/Bld/Qn	bloodGlucoses	confident	bloodGlucose	BloodGlucoseRecord	com.huawei.instantaneous.blood_glucose	BLOOD_GLUCOSE:measureValue		BloodGlucoseType	（blood-glucose API）						?	本仓已有；血糖仪来源可用 41653-7
93832-4	Sleep duration	Time/Pt/Qn	dailyTotalSleepTime	confident	sleepAnalysis:asleepUnspecified	SleepSessionRecord	health.record.sleep:all_sleep_time	SLEEP(deep+light+rem 需计算)		SleepType	sleep.minutesAsleep		sleep.total_sleep_duration	DATA_TYPES.SLEEP_STATUS(13)		Sleep	Sleep	本仓留空，可补
